WORK;PERFORMANCE;Position1;Distance1;Position2;Distance2;Position1 ratio;Position2 ratio
'W_4728'; 'P_5966';82;0.42094698548316956;92;0.377811074256897;0,987951807;0,958333333
'W_20414'; 'P_ID_not_found_W_20414';39;0.19291262328624725;40;0.1942407637834549;0,469879518;0,416666667
'W_867'; 'P_868';42;0.36408987641334534;47;0.39062702655792236;0,506024096;0,489583333
'W_401'; 'P_501';1;0.10829394310712814;2;0.09245003014802933;0,012048193;0,020833333
'W_401'; 'P_503';2;0.11689526587724686;4;0.1020396277308464;0,024096386;0,041666667
'W_401'; 'P_549';9;0.14885291457176208;14;0.14080680906772614;0,108433735;0,145833333
'W_784'; 'P_785';27;0.20423440635204315;41;0.24276921153068542;0,325301205;0,427083333
'W_1141'; 'P_1142';2;0.15844231843948364;2;0.1555439829826355;0,024096386;0,020833333
'W_3447'; 'P_188561';14;0.15209384262561798;1;0.05156543850898743;0,168674699;0,010416667
'W_2116'; 'P_2117';1;0.11363839358091354;2;0.13257811963558197;0,012048193;0,020833333
'W_2116'; 'P_2118';2;0.11915206164121628;1;0.11896293610334396;0,024096386;0,010416667
'W_1153'; 'P_1154';2;0.10146219283342361;1;0.08105123788118362;0,024096386;0,010416667
'W_1155'; 'P_1156';42;0.23415572941303253;60;0.2584128677845001;0,506024096;0,625
'W_5950'; 'P_18491';13;0.1321495771408081;18;0.13821585476398468;0,156626506;0,1875
'W_2333'; 'P_ID_not_found_W_2333';9;0.19872227311134338;1;0.14132283627986908;0,108433735;0,010416667
'W_20905'; 'P_20916';39;0.21741223335266113;1;0.047496821731328964;0,469879518;0,010416667
'W_1143'; 'P_1144';16;0.22532659769058228;43;0.2804643213748932;0,192771084;0,447916667
'W_1159'; 'P_1160';71;0.3764926791191101;84;0.4339011609554291;0,855421687;0,875
'W_1161'; 'P_1162';62;0.27985653281211853;73;0.30950427055358887;0,746987952;0,760416667
'W_1157'; 'P_1158';17;0.2698012590408325;16;0.26827120780944824;0,204819277;0,166666667
'W_26'; 'P_12484';1;0.043591853231191635;2;0.042167797684669495;0,012048193;0,020833333
'W_4160'; 'P_4161';22;0.4429171681404114;29;0.49358296394348145;0,265060241;0,302083333